"X_COORD","Y_COORD","BOUGUER","GRTOPISO","PROF_MOHO","S_DEPTH","TOPO_ISO","BENPENTE","DIST_SEIS","DIST_SUBS","DIST_VOL","NBR_SEISM","DIST_112","DIST_135","DIST_157","DIST_180","DIST_22","DIST_45","DIST_67","DIST_90","AGE","ROCK","OR"
5605772.5,-2861888.8,-259.0,-8.0E-4,49866.2,-91.0,-81.0,0.0922,22389.49,522695.06,158394.7,0.0,191628.48,156281.6,41419.508,50680.14,7843.32,859.0046,45221.59,159401.4,"PALEOZOIC","VOLCANIC","STERILE"
5541359.5,-3541958.8,-34.0,4.0E-4,38625.9,-106.0,16.0,0.0326,3719.5547,579063.75,371066.53,2.0,475363.9,52481.12,81584.055,86875.32,9609.786,18296.46,6855.5566,361148.94,"PROTEROZOIC","VOL_SEDIMENTARY","STERILE"
5656784.0,-3542981.8,-51.0,4.0E-4,47112.8,-41.0,17.0,0.0674,14317.921,694042.3,477949.22,1.0,421308.9,92020.16,190554.7,8380.743,119434.77,125015.305,28738.418,443106.75,"PALEOZOIC","METAMORPHIC","STERILE"
5582335.5,-2617862.8,-348.0,1.0E-4,63497.8,-205.0,-58.0,0.0746,2274.4407,480473.53,56789.816,16.0,171793.64,82839.5,149061.11,12625.1,28468.979,45750.266,6823.7417,59060.445,"PROTEROZOIC","PLUTONIC","STERILE"
5260603.5,-3297931.0,-287.0,-2.0E-4,54757.5,-101.0,-69.0,0.0343,11476.795,275349.34,276000.97,10.0,295761.34,53674.75,85393.766,20383.918,5360.7373,31686.156,129477.4,112078.09,"PROTEROZOIC","PLUTONIC","STERILE"
5649763.0,-3144565.5,-63.0,3.0E-4,41641.4,-31.0,-12.0,0.1391,14934.705,601846.56,285159.44,1.0,101469.44,40675.61,87067.68,54128.13,107835.79,65660.836,203985.52,130448.836,"MESOZOIC","VOLCANIC","STERILE"
5573203.0,-2758420.2,-295.0,3.0E-4,57139.9,-96.0,-39.0,0.0707,15200.669,487556.62,88343.09,2.0,272424.75,99981.04,59441.2,30985.018,41409.75,17536.887,7934.5986,52623.49,"MESOZOIC","VOLCANIC","STERILE"
5649482.0,-2702513.5,-231.0,2.0E-4,58413.5,-88.0,-41.0,0.1035,14441.211,553587.4,93224.27,2.0,279819.75,13711.111,106369.72,24157.295,20308.059,16654.908,8601.276,2276.1592,"PROTEROZOIC","PLUTONIC","STERILE"
5175807.0,-3616811.8,-212.0,0.0018,67551.1,-64.0,0.0,0.0328,604.89124,224004.16,85950.69,192.0,624413.8,189879.45,167419.25,16747.547,53935.777,57037.633,272145.28,159689.61,"PALEOZOIC","PLUTONIC","STERILE"
5234776.5,-3393374.0,-279.0,-2.0E-4,54102.6,-132.0,-65.0,0.0154,7443.0376,259456.72,305913.0,13.0,394167.34,152305.97,84646.27,20085.854,51211.74,4101.479,221385.16,47914.105,"PROTEROZOIC","PLUTONIC","STERILE"
5533234.5,-2697513.8,-352.0,2.0E-4,69596.6,-187.0,-54.0,0.0527,2018.8625,437702.56,39109.137,81.0,223598.94,104324.31,55943.99,25746.762,21031.861,35890.203,30475.307,18104.35,"MESOZOIC","PLUTONIC","STERILE"
5596894.5,-3693619.0,-80.0,-5.0E-4,42028.4,-32.0,-18.0,0.0316,30313.586,651440.1,392314.3,0.0,579056.6,193480.64,95531.06,67316.02,55171.207,169831.9,95326.266,432430.94,"PROTEROZOIC","PLUTONIC","STERILE"
5414152.5,-3215441.0,-168.0,9.0E-4,48263.1,-103.0,-15.0,0.021,7990.6895,406230.16,214702.31,9.0,191798.4,76651.78,27834.943,37048.69,45249.727,67204.74,52948.215,94145.17,"MESOZOIC","VOLCANIC","GISEMENT"
5600738.0,-2438550.5,-387.0,-5.0E-4,64806.5,-241.0,-94.0,0.0521,11848.34,488713.38,44702.516,6.0,128729.78,157339.61,188296.83,24314.338,6907.4854,10116.708,56520.836,35726.46,"PROTEROZOIC","PLUTONIC","STERILE"
5587018.5,-3596359.2,-67.0,0.0,42779.2,-88.0,0.0,0.0335,31967.502,629789.3,395640.56,0.0,506587.38,95739.58,105877.65,49455.207,66277.19,89303.766,18896.916,423490.53,"MESOZOIC","VOLCANIC","STERILE"
5457482.5,-3105930.0,-227.0,-4.0E-4,46038.5,-136.0,-76.0,0.032,2262.727,407458.16,141407.3,22.0,89771.36,82080.06,80822.055,7675.5244,11121.431,12758.709,8935.954,36838.64,"PALEOZOIC","METAMORPHIC","STERILE"
5431060.0,-3269271.5,-146.0,3.0E-4,41530.3,-114.0,-32.0,0.0201,12552.614,442017.56,271090.8,4.0,247660.1,34376.53,13115.358,79587.87,60479.383,15435.957,103630.484,134985.61,"PALEOZOIC","SEDIMENTARY","STERILE"
5153128.0,-3513862.8,-205.0,7.0E-4,66614.3,-109.0,5.0,0.0312,1476.9261,189938.64,190999.67,111.0,536046.7,291965.53,65960.41,25790.498,52624.543,132036.36,352186.8,56385.273,"MESOZOIC","METAMORPHIC","STERILE"
5545822.5,-3657183.2,-61.0,2.0E-4,46001.8,-40.0,6.0,0.02,14976.932,596149.2,343628.28,2.0,579716.56,158417.58,43021.004,94811.33,40137.223,108162.55,42222.05,416610.44,"MESOZOIC","VOLCANIC","STERILE"
5643865.5,-2579606.0,-302.0,3.0E-4,65224.4,-211.0,-44.0,0.0884,11148.385,539743.2,122685.43,4.0,192268.56,101473.93,217136.69,51423.406,14959.088,23871.387,6940.0034,73997.31,"PROTEROZOIC","PLUTONIC","STERILE"
5545374.5,-3499940.2,-30.0,5.0E-4,38814.3,-105.0,18.0,0.0343,5566.9106,578970.94,394046.1,2.0,433155.62,17874.322,94241.65,77557.56,14297.692,28076.098,35353.402,353818.75,"PROTEROZOIC","VOL_SEDIMENTARY","STERILE"
5629173.5,-3207959.0,-61.0,2.0E-4,40845.2,-33.0,-17.0,0.122,3599.5093,603101.94,314488.12,2.0,147088.62,105294.21,146618.52,15108.76,106534.55,77117.195,205765.05,138654.94,"MESOZOIC","VOLCANIC","STERILE"
5664625.0,-2591763.5,-279.0,2.0E-4,63189.4,-104.0,-44.0,0.0986,15222.311,561156.75,129690.266,1.0,216324.78,93452.07,199184.55,71119.945,8117.929,41.94811,15337.512,56090.453,"PROTEROZOIC","PLUTONIC","STERILE"
5495965.0,-3244631.8,-147.0,-5.0E-4,40257.0,-124.0,-66.0,0.043,19350.459,493007.2,277995.94,1.0,195795.03,88257.74,38241.684,27587.262,78809.03,1647.0641,134037.88,107327.76,"PROTEROZOIC","VOL_SEDIMENTARY","STERILE"
5530986.5,-3190564.5,-138.0,-2.0E-4,41865.1,-124.0,-54.0,0.0557,10481.967,505040.62,246076.12,4.0,132391.28,122448.51,83902.625,74883.516,17971.49,4404.2363,115928.125,68924.33,"PROTEROZOIC","VOL_SEDIMENTARY","STERILE"
5428346.5,-3216728.0,-165.0,6.0E-4,48263.1,-103.0,-25.0,0.0254,11350.799,419857.9,221075.22,15.0,195597.56,81249.555,16377.405,40528.844,58945.35,56234.31,63335.37,87466.195,"MESOZOIC","VOLCANIC","STERILE"
5146668.0,-3514389.8,-205.0,7.0E-4,65341.3,-74.0,5.0,0.0317,3174.4756,183560.6,192338.34,89.0,539048.3,294493.22,68201.625,22657.13,46751.75,135995.55,356589.84,58048.03,"PROTEROZOIC","PLUTONIC","STERILE"
5421768.5,-3439839.8,-76.0,6.0E-4,50514.2,-32.0,0.0,0.0188,2042.5496,450090.6,337197.72,41.0,404409.66,59225.887,2580.2932,34329.555,1814.398,50909.516,162899.9,222788.55,"PROTEROZOIC","PLUTONIC","STERILE"
5679780.0,-3483043.8,-60.0,0.0,45333.0,-192.0,4.0,0.0918,25969.588,711086.1,521451.62,0.0,360159.2,73083.766,215008.64,12824.571,142066.86,152660.52,76784.56,395530.16,"PALEOZOIC","METAMORPHIC","STERILE"
5267534.5,-3579089.0,-197.0,5.0E-4,55567.7,-90.0,-47.0,0.023,4343.9087,310203.88,134356.44,33.0,564287.7,237124.66,117131.4,9323.362,27768.904,7616.098,226014.88,150926.0,"PALEOZOIC","METAMORPHIC","STERILE"
5704037.5,-2541451.0,-237.0,4.0E-4,57194.9,-78.0,-36.0,0.1169,15719.69,597662.75,190502.28,3.0,233066.22,77665.63,242532.03,23972.303,34472.242,18564.314,34730.242,84857.734,"MESOZOIC","VOLCANIC","STERILE"
5588550.0,-3650347.0,-68.0,1.0E-4,42655.2,-32.0,1.0,0.0297,32430.477,637660.44,386868.06,0.0,548165.25,149573.77,86122.09,51543.92,61812.1,132095.16,57462.83,449302.9,"MESOZOIC","VOLCANIC","STERILE"
5653229.5,-3538478.2,-53.0,3.0E-4,47112.8,-41.0,15.0,0.0655,13394.925,690067.44,476076.0,1.0,419920.6,86848.34,188970.53,11549.036,114933.555,120919.92,25063.867,437659.03,"PALEOZOIC","METAMORPHIC","STERILE"
5644110.0,-3527297.2,-54.0,3.0E-4,41770.5,-68.0,12.0,0.0619,20304.217,679904.44,471419.66,0.0,416985.03,74090.83,184192.58,16906.453,103991.52,111085.41,20310.049,423987.56,"MESOZOIC","VOLCANIC","STERILE"
5248891.0,-3188497.0,-322.0,-2.0E-4,65116.5,-105.0,-61.0,0.0297,4541.1274,243040.94,169262.0,10.0,201218.73,46491.95,40242.47,54617.383,9440.633,86506.31,102557.43,152864.56,"PROTEROZOIC","VOLCANIC","GISEMENT"
5637154.5,-3170818.0,-60.0,4.0E-4,39354.5,-29.0,-10.0,0.1317,15355.183,598471.25,292879.53,1.0,115986.28,69779.8,115543.79,29401.531,102155.84,64996.086,198194.66,126067.43,"MESOZOIC","VOLCANIC","STERILE"
5552695.5,-3646422.0,-58.0,3.0E-4,45371.8,-33.0,10.0,0.0211,3705.5757,601598.2,351863.72,2.0,567035.44,146662.83,53301.594,86753.914,44683.113,105182.66,32855.3,416542.22,"MESOZOIC","VOLCANIC","STERILE"
5175709.0,-3622355.8,-212.0,0.0018,67551.1,-64.0,0.0,0.0333,943.9319,224611.92,80783.46,204.0,629699.5,184382.67,172952.81,16582.777,49270.56,54059.367,269484.22,165198.08,"PALEOZOIC","PLUTONIC","STERILE"
5645399.5,-2876774.0,-196.0,-5.0E-4,44433.4,-91.0,-68.0,0.111,26597.414,563303.06,195688.94,0.0,196804.47,145470.31,72290.305,68450.37,4778.577,20626.344,13142.81,171397.72,"PALEOZOIC","PLUTONIC","STERILE"
5665265.5,-2673873.2,-237.0,-3.0E-4,47752.7,-147.0,-57.0,0.107,9755.87,566555.56,103498.34,4.0,268394.28,22982.496,121866.766,55005.75,29388.963,29280.938,12798.063,16694.053,"PROTEROZOIC","PLUTONIC","STERILE"
5632708.0,-2592811.5,-310.0,3.0E-4,65959.0,-211.0,-46.0,0.086,3247.598,529350.0,105407.24,2.0,190273.5,88048.875,200321.39,39290.84,22558.438,24339.613,2597.2727,64991.586,"PALEOZOIC","SEDIMENTARY","STERILE"
5671463.5,-3561437.2,-46.0,4.0E-4,42589.0,-33.0,20.0,0.0736,9471.265,710444.25,486366.84,1.0,427691.72,113878.29,197253.3,4796.4224,106462.25,143092.23,48306.59,465502.2,"PALEOZOIC","METAMORPHIC","STERILE"
5235722.5,-3693876.0,-243.0,-5.0E-4,44581.5,-42.0,-74.0,0.0422,4800.9326,292716.38,31365.982,13.0,683106.8,118129.16,147296.3,25508.357,4213.7715,25371.615,185216.38,244505.62,"PALEOZOIC","VOLCANIC","STERILE"
5258279.5,-3602885.5,-210.0,4.0E-4,54995.2,-29.0,-49.0,0.0269,2004.8677,304036.03,109037.34,32.0,589434.6,211660.22,134240.16,5987.7134,31313.186,1912.2921,214658.73,166429.33,"PROTEROZOIC","PLUTONIC","STERILE"
5627097.5,-3611806.5,-66.0,0.0,40622.9,-26.0,2.0,0.0505,5125.1523,671191.06,431156.88,1.0,494368.47,122199.766,135361.11,10835.829,57704.25,127878.02,56680.715,466400.6,"MESOZOIC","VOLCANIC","STERILE"
5636864.5,-3517918.0,-54.0,3.0E-4,43245.9,-68.0,12.0,0.0604,30107.89,671778.25,468194.6,0.0,414625.06,64330.543,180065.45,11198.067,95933.77,104071.88,23654.25,412505.12,"MESOZOIC","VOLCANIC","STERILE"
5286736.0,-3306461.8,-205.0,0.0013,58687.6,-52.0,-18.0,0.0238,12620.314,302220.9,283546.03,4.0,294939.78,53150.383,68027.19,42184.082,10103.691,4898.677,120134.01,138072.53,"PROTEROZOIC","PLUTONIC","STERILE"
5560171.0,-3680284.8,-64.0,1.0E-4,42148.0,-32.0,0.0,0.0207,9415.638,613319.06,355999.44,2.0,589107.5,179455.39,56730.08,88194.27,57357.99,134750.45,62570.418,440974.38,"MESOZOIC","VOLCANIC","STERILE"
5182534.5,-3633570.8,-246.0,0.001,65740.6,-64.0,-35.0,0.0337,1652.5363,232807.81,67910.164,171.0,638244.5,172539.73,184572.47,15733.009,36153.695,42177.81,258138.55,177102.84,"PROTEROZOIC","METAMORPHIC","STERILE"
5346547.5,-3316416.0,-213.0,-0.001,43038.9,-66.0,-80.0,0.0031,4657.8804,362739.4,300066.66,17.0,292602.22,37316.637,21064.28,32877.914,37021.223,25718.035,112017.07,183279.98,"PROTEROZOIC","PLUTONIC","STERILE"
5758178.5,-3346721.2,-4.0,7.0E-4,38764.3,-10.0,28.0,0.1744,28983.742,774356.1,503831.5,0.0,207357.2,167753.94,150285.31,85930.74,184691.97,254588.03,232857.14,327339.8,"MESOZOIC","VOLCANIC","STERILE"
5607463.0,-2824850.8,-236.0,2.0E-4,55354.2,-191.0,-47.0,0.0883,10447.387,523015.38,160658.38,4.0,226334.62,128235.23,56224.88,24754.803,19652.844,4688.1387,66618.93,122836.24,"PALEOZOIC","VOLCANIC","STERILE"
5291160.0,-3409778.2,-209.0,-1.0E-4,44909.6,-120.0,-57.0,0.0056,1977.1481,317171.88,300742.66,56.0,393698.1,134860.75,103685.34,58696.152,14393.997,35763.727,213639.19,93106.89,"PROTEROZOIC","PLUTONIC","STERILE"
5297499.5,-3320937.8,-175.0,0.0017,48843.8,-52.0,-3.0,0.018,5676.8394,314416.66,298312.2,11.0,305842.38,63288.625,67947.45,51231.965,11287.329,11789.66,127846.01,143517.66,"PROTEROZOIC","PLUTONIC","STERILE"
5606837.5,-3684561.0,-65.0,0.0,43638.1,-22.0,-3.0,0.0359,43357.703,660150.75,402452.94,0.0,566054.4,185944.42,103452.2,54054.996,42810.754,169756.22,94439.02,438872.34,"PROTEROZOIC","PLUTONIC","STERILE"
5641499.5,-3465750.2,-51.0,3.0E-4,42441.4,-152.0,10.0,0.0686,9395.666,671301.1,494695.9,4.0,373855.47,32663.342,173852.03,15833.117,111266.21,120634.4,75362.64,365370.38,"PROTEROZOIC","PLUTONIC","STERILE"
5584296.5,-3642667.0,-66.0,2.0E-4,42954.2,-33.0,3.0,0.028,33302.555,632465.06,383675.38,0.0,544538.0,141576.31,84080.8,55019.812,68109.586,123542.13,49118.92,441802.94,"MESOZOIC","VOLCANIC","STERILE"
5596787.0,-2608586.8,-334.0,2.0E-4,61913.4,-205.0,-53.0,0.0762,15189.222,494377.66,71382.95,6.0,173913.47,82265.44,165087.08,2406.9395,39617.785,41720.816,7956.9824,62067.43,"PALEOZOIC","SEDIMENTARY","STERILE"
5515133.5,-2675254.8,-365.0,1.0E-4,69529.9,-187.0,-62.0,0.0514,1175.3026,417045.47,46889.44,352.0,197992.06,117130.87,67167.32,7917.462,24780.621,37268.688,21658.81,45113.867,"PALEOZOIC","SEDIMENTARY","STERILE"
5481396.5,-2819727.5,-365.0,-1.0E-4,67958.9,-32.0,-67.0,0.0484,6227.2764,396948.3,78968.44,2.0,183885.38,193567.36,50459.32,63657.785,112425.26,19663.885,4702.297,80568.89,"PROTEROZOIC","PLUTONIC","STERILE"
5521364.0,-3186423.2,-145.0,-2.0E-4,41970.6,-124.0,-56.0,0.0503,9954.218,494570.25,238317.88,3.0,132300.8,124221.234,78117.63,77658.836,15324.33,5337.3315,106264.055,61734.66,"PROTEROZOIC","PLUTONIC","STERILE"
5757325.5,-3335477.0,-3.0,7.0E-4,39386.4,-10.0,28.0,0.1754,37618.465,769317.3,494865.88,0.0,200667.31,166447.47,140344.78,84792.38,174561.58,256657.08,241811.89,319042.97,"PALEOZOIC","METAMORPHIC","STERILE"
5435772.0,-3486725.8,-55.0,4.0E-4,39556.5,-27.0,6.0,0.0296,3114.2678,468601.97,313033.22,76.0,443378.4,79733.85,1319.7499,22549.908,5088.904,37738.395,119627.15,244090.56,"PROTEROZOIC","PLUTONIC","STERILE"
5273202.5,-3601439.5,-193.0,6.0E-4,44412.7,-29.0,-45.0,0.0302,2978.66,318654.06,118281.21,38.0,585219.3,217802.61,119996.86,8953.044,17147.584,2766.692,205380.72,172664.34,"PROTEROZOIC","PLUTONIC","STERILE"
5533005.0,-3035617.5,-222.0,1.0E-4,55904.6,-133.0,-58.0,0.054,12945.53,461531.97,126729.98,2.0,3282.5127,16127.243,107230.35,60747.445,34247.145,22536.156,84829.375,85696.38,"PALEOZOIC","VOLCANIC","GISEMENT"
5428715.5,-3217830.8,-165.0,6.0E-4,48263.1,-103.0,-25.0,0.0254,12095.081,420616.38,222234.47,14.0,196753.67,80392.29,16635.184,41691.684,59688.97,55196.957,64371.125,88254.79,"MESOZOIC","VOLCANIC","STERILE"
5554388.0,-3037674.8,-201.0,2.0E-4,57084.7,-105.0,-49.0,0.0713,8399.487,482947.88,146242.64,4.0,12013.813,24082.107,90799.43,50334.38,16710.139,28853.008,93847.2,89140.37,"PALEOZOIC","METAMORPHIC","GISEMENT"
5557282.0,-3648530.2,-61.0,3.0E-4,44188.5,-33.0,7.0,0.0218,8287.255,606415.6,356104.03,2.0,565777.75,148138.9,56676.223,82332.92,49602.16,109818.75,36429.14,421549.6,"MESOZOIC","VOLCANIC","STERILE"
5573720.5,-2704666.0,-315.0,4.0E-4,68864.6,-156.0,-39.0,0.0741,4062.4424,478797.4,35885.008,9.0,243262.1,66895.266,84722.03,27630.3,43428.555,16412.248,44173.996,2983.3074,"MESOZOIC","PLUTONIC","STERILE"
5175175.0,-3608482.0,-244.0,5.0E-4,67551.1,-64.0,-31.0,0.0319,1561.3809,222317.86,94036.35,188.0,616733.8,198227.72,159069.27,16263.514,61567.734,62162.36,276967.84,151338.4,"PALEOZOIC","PLUTONIC","STERILE"
5255719.5,-3131920.2,-302.0,2.0E-4,65811.8,-107.0,-31.0,0.027,7994.4927,227983.05,112615.55,10.0,147974.8,101627.45,24535.467,63027.617,41455.1,104735.08,118833.22,202598.6,"PALEOZOIC","SEDIMENTARY","STERILE"
5267362.5,-3585554.8,-194.0,6.0E-4,55567.7,-90.0,-44.0,0.0255,5366.914,310841.47,128595.445,33.0,570667.5,230906.6,119287.65,6560.0815,26485.805,3240.872,221168.23,156163.66,"PROTEROZOIC","PLUTONIC","STERILE"
5618260.5,-3575918.2,-62.0,1.0E-4,39814.7,-57.0,4.0,0.0453,21597.771,658898.6,431238.8,0.0,470981.0,86308.27,142483.39,16461.176,92798.09,99184.78,23063.404,444949.47,"PROTEROZOIC","PLUTONIC","STERILE"
5584522.5,-3585063.2,-63.0,0.0,39808.7,-88.0,0.0,0.0338,32899.46,626208.1,396292.5,0.0,499614.62,84222.46,107765.98,50898.777,61460.98,78979.93,8688.549,416758.97,"PALEOZOIC","METAMORPHIC","STERILE"
5238915.0,-3358292.0,-287.0,-5.0E-4,51934.4,-132.0,-75.0,0.022,7577.591,259987.22,338388.1,15.0,359891.34,117790.46,110366.23,4472.115,39224.137,14479.225,189865.06,78139.41,"PROTEROZOIC","PLUTONIC","STERILE"
5388302.5,-2724217.8,-394.0,-8.0E-4,68347.3,-102.0,-97.0,0.0591,12750.576,299521.84,22020.309,6.0,259973.34,195292.69,109451.66,79924.02,59465.754,56421.016,43875.453,10804.424,"MESOZOIC","PLUTONIC","STERILE"
5632717.0,-3425376.2,-50.0,1.0E-4,38567.3,-185.0,-1.0,0.0656,7363.59,658601.44,501908.88,14.0,354145.5,20653.256,145715.36,11958.466,114631.59,111403.21,114643.84,324465.6,"MESOZOIC","VOLCANIC","STERILE"
5267485.5,-3580930.0,-197.0,5.0E-4,55567.7,-90.0,-47.0,0.0242,5392.86,310377.3,132709.47,32.0,566104.06,235352.8,117713.164,8166.6313,27403.535,6370.3047,224626.55,152407.73,"PALEOZOIC","VOLCANIC","STERILE"
5702302.5,-3465947.2,-56.0,-1.0E-4,43301.6,-32.0,3.0,0.1135,2433.1387,731833.1,549052.6,4.0,332619.56,86159.31,226043.33,12296.453,168154.94,179317.36,104707.41,389841.66,"MESOZOIC","VOLCANIC","STERILE"
5585610.0,-3620441.2,-68.0,0.0,42942.5,-33.0,1.0,0.0308,36509.746,630945.8,388780.44,0.0,526150.44,119524.24,94302.33,52870.344,70976.4,107181.15,34949.918,432495.9,"PALEOZOIC","METAMORPHIC","STERILE"
5702302.5,-3465947.2,-56.0,-1.0E-4,43301.6,-32.0,3.0,0.1135,2433.1387,731833.1,549052.6,4.0,332619.56,86159.31,226043.33,12296.453,168154.94,179317.36,104707.41,389841.66,"MESOZOIC","VOLCANIC","STERILE"
5351260.0,-2802440.5,-351.0,0.0,70457.6,-100.0,-50.0,0.0389,8415.532,266812.06,3715.066,3.0,175389.94,232307.64,158286.94,139651.25,17126.771,39815.83,17748.338,49104.043,"PROTEROZOIC","PLUTONIC","STERILE"
5310595.0,-3274198.2,-258.0,-4.0E-4,52757.6,-60.0,-69.0,0.0136,991.8444,322752.56,252667.39,10.0,257309.11,14840.858,30243.938,75571.17,39480.215,3836.6636,80200.19,164617.4,"PROTEROZOIC","PLUTONIC","STERILE"
5697647.0,-2492851.5,-232.0,7.0E-4,59570.7,-221.0,-20.0,0.1181,29760.822,588536.4,154439.22,0.0,218930.12,107366.37,270646.4,19884.297,18815.729,6504.857,34214.96,67373.87,"MESOZOIC","VOLCANIC","STERILE"
5616418.0,-2541306.2,-337.0,1.0E-4,62413.2,-244.0,-56.0,0.0721,10252.442,510175.22,140549.45,25.0,150182.95,118090.516,187397.16,27794.297,36429.367,62887.82,54058.344,67564.91,"PROTEROZOIC","VOLCANIC","STERILE"
5206932.0,-2528329.5,-5.0,0.0025,46427.1,-53.0,87.0,0.0143,6512.4927,100610.45,195396.81,14.0,156142.33,251654.88,102163.28,96814.36,7316.7173,20195.805,135539.52,84884.56,"PROTEROZOIC","SEDIMENTARY","STERILE"
5615142.5,-3651970.8,-69.0,0.0,42066.0,-22.0,-2.0,0.0447,47003.152,664243.8,413089.72,0.0,534240.3,155894.6,111956.79,26393.857,35959.207,150260.33,78047.086,468945.5,"PROTEROZOIC","PLUTONIC","STERILE"
5476644.5,-3240103.0,-151.0,-2.0E-4,50181.6,-124.0,-55.0,0.0367,12008.504,473408.06,263862.44,5.0,200657.8,82442.18,18450.37,45748.21,84885.31,5439.6973,115499.98,99987.34,"PALEOZOIC","SEDIMENTARY","STERILE"
5690928.0,-3483774.2,-62.0,-1.0E-4,41778.9,-192.0,1.0,0.1026,23545.72,722252.56,531335.8,0.0,353633.84,82862.914,224927.98,1987.8369,152829.62,163218.31,84187.02,400782.56,"PALEOZOIC","METAMORPHIC","STERILE"
5309751.5,-3165918.2,-317.0,-5.0E-4,61738.1,-115.0,-72.0,0.0108,3749.4734,290856.25,145279.95,20.0,154898.58,87156.65,21958.36,75089.32,18671.53,42691.754,55014.05,163125.92,"PROTEROZOIC","PLUTONIC","STERILE"
5528042.5,-2506024.0,-442.0,-9.0E-4,71208.5,-223.0,-121.0,0.0608,3849.4353,419947.25,49981.52,9.0,55197.2,60219.402,101257.84,19397.363,58701.973,37.59601,111703.766,26410.068,"PROTEROZOIC","VOLCANIC","STERILE"
5229338.0,-3427353.5,-266.0,-1.0E-4,52878.6,-120.0,-60.0,0.0107,5003.7583,257359.92,271570.8,30.0,427905.72,186186.64,65329.03,19997.08,46949.363,26410.83,253553.5,29954.691,"MESOZOIC","METAMORPHIC","STERILE"
5546044.0,-3039160.2,-201.0,2.0E-4,55904.6,-133.0,-49.0,0.0675,5886.055,474991.1,139708.58,3.0,6959.0527,19108.738,98340.164,55557.965,22744.256,34852.83,92487.52,84991.625,"MESOZOIC","PLUTONIC","GISEMENT"
5588961.0,-3585321.5,-65.0,0.0,39808.7,-88.0,0.0,0.0349,36353.5,630650.9,400477.12,0.0,496910.03,85110.06,111789.414,46502.906,65865.945,82131.11,11768.914,420961.66,"PALEOZOIC","METAMORPHIC","STERILE"
5554703.0,-2709587.0,-331.0,3.0E-4,69143.2,-156.0,-44.0,0.0617,9921.117,460767.12,39418.85,8.0,241179.12,86444.445,65468.613,46956.63,35342.64,24403.236,54168.215,417.56708,"MESOZOIC","PLUTONIC","STERILE"
5232187.5,-3431253.2,-266.0,-1.0E-4,55313.4,-120.0,-60.0,0.0088,770.50586,260576.36,267965.75,31.0,430613.9,188934.4,66842.805,15188.472,43383.242,30942.705,255660.78,33223.64,"PROTEROZOIC","SEDIMENTARY","STERILE"
5513503.0,-2502296.0,-444.0,-8.0E-4,71208.5,-223.0,-120.0,0.0554,5651.592,405220.12,37892.07,8.0,40717.984,57447.26,88215.75,6556.878,73629.016,13761.67,97813.84,20649.6,"PROTEROZOIC","VOLCANIC","GISEMENT"
5513296.0,-2569618.2,-419.0,-5.0E-4,65898.4,-184.0,-101.0,0.0679,1646.177,408817.75,66589.11,24.0,95396.03,17173.893,93189.18,3042.631,51774.15,5498.348,89308.18,87821.95,"PALEOZOIC","SEDIMENTARY","STERILE"
