"X_COORD","Y_COORD","BOUGUER","GRTOPISO","PROF_MOHO","S_DEPTH","TOPO_ISO","BENPENTE","DIST_SEIS","DIST_SUBS","DIST_VOL","NBR_SEISM","DIST_112","DIST_135","DIST_157","DIST_180","DIST_22","DIST_45","DIST_67","DIST_90","AGE","ROCK"
5666700.0,-3632981.5,-51.0,2.0E-4,43172.2,-21.0,7.0,0.0746,46736.246,712967.75,466620.7,0.0,490845.0,160548.11,166178.19,27608.668,37171.44,171721.22,97738.01,480480.88,"PALEOZOIC","METAMORPHIC"
5244869.5,-3261162.5,-340.0,-8.0E-4,61481.1,-88.0,-96.0,0.0472,1220.1238,256352.64,241435.52,16.0,267791.4,23370.104,81220.52,20108.002,2711.682,64133.164,119622.49,105266.016,"PROTEROZOIC","PLUTONIC"
5666491.0,-3612491.2,-47.0,4.0E-4,44695.6,-21.0,15.0,0.074,38904.68,710453.06,469699.72,0.0,473323.66,144102.62,171619.69,17918.785,55877.52,159479.84,81121.086,500917.16,"PALEOZOIC","METAMORPHIC"
5528703.5,-2565500.0,-412.0,-5.0E-4,67370.2,-184.0,-97.0,0.0659,3266.978,423968.03,80233.41,45.0,98368.266,29707.562,105775.71,12388.455,38317.203,6383.891,80826.05,85373.6,"PROTEROZOIC","PLUTONIC"
5528679.0,-3031326.0,-235.0,0.0,54031.0,-133.0,-61.0,0.0502,13164.581,456534.66,120789.95,2.0,5521.464,17890.676,108901.33,60951.08,37478.69,16524.453,79351.14,89502.984,"PALEOZOIC","VOLCANIC"
5316253.5,-3284466.5,-235.0,-3.0E-4,46446.7,-60.0,-61.0,0.0116,7163.2354,329318.38,263512.38,15.0,265932.6,22681.416,31217.363,76856.69,30435.18,9040.803,86911.24,168694.48,"PROTEROZOIC","PLUTONIC"
5262670.5,-3429156.5,-245.0,-4.0E-4,56016.0,-120.0,-66.0,0.0056,2584.7039,290709.34,274843.16,65.0,419412.88,168660.11,96940.27,24242.645,43701.824,30645.639,241143.77,63335.945,"PROTEROZOIC","PLUTONIC"
5415001.5,-3227326.2,-160.0,7.0E-4,44332.0,-103.0,-18.0,0.0205,4403.7627,411507.75,226201.19,8.0,203684.36,66139.74,25841.324,48920.426,47569.45,57661.87,62692.97,103418.99,"MESOZOIC","VOLCANIC"
5601649.0,-2491036.2,-376.0,-2.0E-4,63746.4,-252.0,-80.0,0.0587,5841.033,492588.75,90462.17,41.0,123032.695,122622.016,176357.44,22761.113,8190.7637,23125.955,46835.996,17043.22,"PROTEROZOIC","PLUTONIC"
5657279.5,-3450984.0,-50.0,3.0E-4,45718.9,-192.0,9.0,0.0827,11771.5625,685565.0,515589.3,2.0,352245.03,38769.58,179249.86,531.85455,132022.81,134604.06,93577.8,357231.4,"MESOZOIC","VOLCANIC"
5596894.5,-3693619.0,-80.0,-5.0E-4,42028.4,-32.0,-18.0,0.0316,30313.586,651440.1,392314.3,0.0,579056.6,193480.64,95531.06,67316.02,55171.207,169831.9,95326.266,432430.94,"PROTEROZOIC","PLUTONIC"
5764820.5,-3321070.0,-1.0,7.0E-4,40058.4,-10.0,28.0,0.1766,33026.89,770812.2,489430.1,0.0,185835.73,151931.66,124123.445,74882.555,158388.75,253658.45,257998.7,315267.25,"PALEOZOIC","METAMORPHIC"
5360674.0,-3120353.0,-307.0,-2.0E-4,63875.7,-97.0,-68.0,0.0242,11487.11,320861.16,108707.98,6.0,96266.016,143033.02,6979.7163,52152.92,24233.11,14979.619,56762.805,111964.734,"PROTEROZOIC","PLUTONIC"
5586661.0,-3655810.8,-68.0,1.0E-4,42655.2,-32.0,0.0,0.0296,28201.445,636482.0,384358.72,0.0,553692.3,154857.31,83226.164,54592.293,62579.37,134890.86,59799.12,450434.66,"MESOZOIC","VOLCANIC"
5414629.5,-3219002.5,-168.0,9.0E-4,48263.1,-103.0,-15.0,0.021,6150.5234,408017.56,218217.33,9.0,195391.28,73592.45,29278.303,40599.785,46535.875,64199.684,56008.85,96733.88,"PALEOZOIC","VOLCANIC"
5277647.0,-3610808.2,-177.0,6.0E-4,43103.8,-29.0,-44.0,0.0326,1713.3511,324253.94,113588.33,40.0,593694.8,210710.3,119698.15,11927.106,10626.191,6898.475,195474.53,182960.69,"PROTEROZOIC","PLUTONIC"
5640242.5,-3168198.8,-60.0,4.0E-4,39354.5,-29.0,-10.0,0.1351,11363.441,600532.7,293323.72,1.0,115190.57,66024.21,111585.0,33221.26,104448.55,66694.66,200334.95,127906.516,"MESOZOIC","VOLCANIC"
5634485.0,-3469074.0,-49.0,3.0E-4,42512.1,-152.0,9.0,0.0614,14396.554,664644.44,486942.03,4.0,381235.62,31355.787,168097.61,13515.144,103504.12,114428.48,71135.016,366042.84,"PROTEROZOIC","PLUTONIC"
5635698.0,-3493295.0,-53.0,3.0E-4,43295.8,-152.0,11.0,0.0626,18595.209,668214.7,477141.03,1.0,397368.78,54284.996,174230.86,13008.752,96813.32,107485.98,47234.03,389204.34,"MESOZOIC","VOLCANIC"
5235697.0,-3694807.5,-243.0,-5.0E-4,44581.5,-42.0,-74.0,0.0422,4039.049,292765.28,31237.896,13.0,684023.9,117240.9,146526.2,26376.9,4511.6123,25906.396,184941.55,245407.69,"PALEOZOIC","VOLCANIC"
5480446.0,-3681599.5,-25.0,9.0E-4,39288.9,-176.0,25.0,0.01,16523.645,534408.7,276318.78,1.0,621672.56,203339.14,27065.613,129131.805,21824.625,80199.71,17510.344,375368.44,"PALEOZOIC","PLUTONIC"
5256553.0,-3173259.2,-308.0,3.0E-4,64098.7,-109.0,-44.0,0.0185,7756.1475,244376.9,152826.23,12.0,184164.03,63478.344,26824.494,64486.66,11045.94,85332.516,98705.83,169446.69,"PROTEROZOIC","VOLCANIC"
5564911.5,-3039667.2,-194.0,1.0E-4,57084.7,-105.0,-49.0,0.0796,5291.801,493657.44,156481.67,3.0,15856.173,26739.016,83651.19,48949.484,7656.6055,19795.207,99210.27,91770.055,"MESOZOIC","VOLCANIC"
5263267.0,-3651118.2,-210.0,1.0E-4,43838.1,-59.0,-57.0,0.0375,4011.244,315116.3,74968.31,51.0,635871.5,167978.44,147324.86,527.95465,19328.39,22140.486,179874.47,212197.75,"PROTEROZOIC","PLUTONIC"
5569869.5,-2686431.0,-320.0,4.0E-4,67435.7,-188.0,-40.0,0.0714,9200.866,472644.7,17572.379,11.0,224993.55,66580.01,90631.65,29879.322,31348.795,1289.2308,44832.8,11144.078,"MESOZOIC","VOL_SEDIMENTARY"
5227871.5,-3417261.5,-272.0,-3.0E-4,55387.1,-120.0,-65.0,0.012,8537.976,254915.58,281497.3,17.0,418952.53,177136.03,67832.5,29112.91,56948.504,16300.926,245456.7,29674.553,"PROTEROZOIC","PLUTONIC"
5537791.0,-2815121.0,-315.0,2.0E-4,59789.4,-75.0,-52.0,0.0588,15092.49,453343.1,116663.766,2.0,206777.05,166526.02,1372.0232,7190.488,66833.72,9251.97,26382.223,94487.04,"PALEOZOIC","METAMORPHIC"
